CPU: Intel Skylake microarchitecture, speed 2.701e+06 MHz (estimated)
Counted cpu_clk_unhalted events () with a unit mask of 0x00 (Core cycles when at least one thread on the physical core is not in halt state) count 2100000
samples  %        image name               app name                 symbol name
5        9.8e-04  anon (tgid:3621 range:0x7f259f701000-0x7f259f71a000) gnome-shell              anon (tgid:3621 range:0x7f259f701000-0x7f259f71a000)
5        9.8e-04  libgio-2.0.so.0.4600.2   libgio-2.0.so.0.4600.2   /usr/lib64/libgio-2.0.so.0.4600.2
5        9.8e-04  libjemalloc.so.2         libjemalloc.so.2         __popcountdi2
5        9.8e-04  libjemalloc.so.2         libjemalloc.so.2         je_tcache_alloc_small_hard
5        9.8e-04  libjemalloc.so.2         libjemalloc.so.2         sz_size2index_compute
5        9.8e-04  server                   server                   ARPTimer
5        9.8e-04  server                   server                   CheckConnectionTimeout
5        9.8e-04  server                   server                   tbb::strict_ppl::concurrent_queue<queue_task, tbb::cache_aligned_allocator<queue_task> >::deallocate_block(void*, unsigned long)
4        7.9e-04  anon (tgid:3621 range:0x7f259f73a000-0x7f259f751000) gnome-shell              anon (tgid:3621 range:0x7f259f73a000-0x7f259f751000)
4        7.9e-04  ld-2.17.so               ld-2.17.so               _dl_lookup_symbol_x
4        7.9e-04  ld-2.17.so               ld-2.17.so               _dl_relocate_object
4        7.9e-04  ld-2.17.so               ld-2.17.so               check_match.9524
4        7.9e-04  libavahi-common.so.3.5.3 libavahi-common.so.3.5.3 /usr/lib64/libavahi-common.so.3.5.3
4        7.9e-04  libc-2.17.so             libc-2.17.so             free_dfa_content
4        7.9e-04  libc-2.17.so             libc-2.17.so             malloc_consolidate
4        7.9e-04  libdns-export.so.100.1.1 libdns-export.so.100.1.1 /usr/lib64/libdns-export.so.100.1.1
4        7.9e-04  libjemalloc.so.2         libjemalloc.so.2         arena_maybe_decay
4        7.9e-04  libjemalloc.so.2         libjemalloc.so.2         je_extent_heap_insert
4        7.9e-04  swrast_dri.so            swrast_dri.so            /usr/lib64/dri/swrast_dri.so
3        5.9e-04  irqbalance               irqbalance               /usr/sbin/irqbalance
3        5.9e-04  libavahi-core.so.7.0.2   libavahi-core.so.7.0.2   /usr/lib64/libavahi-core.so.7.0.2
3        5.9e-04  libc-2.17.so             libc-2.17.so             __GI_____strtoll_l_internal
3        5.9e-04  libc-2.17.so             libc-2.17.so             __strlen_sse2_pminub
3        5.9e-04  libc-2.17.so             libc-2.17.so             _int_realloc
3        5.9e-04  libc-2.17.so             libc-2.17.so             peek_token
3        5.9e-04  libc-2.17.so             libc-2.17.so             re_dfa_add_node
3        5.9e-04  libmozjs-24.so           libmozjs-24.so           /usr/lib64/libmozjs-24.so
3        5.9e-04  libpython2.7.so.1.0      libpython2.7.so.1.0      /usr/lib64/libpython2.7.so.1.0
3        5.9e-04  server                   server                   common_ring_mp_enqueue
2        3.9e-04  [vdso] (tgid:1887 range:0x7ffe13d97000-0x7ffe13d99000) python2.7                [vdso] (tgid:1887 range:0x7ffe13d97000-0x7ffe13d99000)
2        3.9e-04  anon (tgid:3621 range:0x7f259f71a000-0x7f259f73a000) gnome-shell              anon (tgid:3621 range:0x7f259f71a000-0x7f259f73a000)
2        3.9e-04  cp                       cp                       /usr/bin/cp
2        3.9e-04  ld-2.17.so               ld-2.17.so               memset
2        3.9e-04  libc-2.17.so             libc-2.17.so             _IO_un_link
2        3.9e-04  libc-2.17.so             libc-2.17.so             __libc_disable_asynccancel
2        3.9e-04  libc-2.17.so             libc-2.17.so             _dl_addr
2        3.9e-04  libc-2.17.so             libc-2.17.so             calc_eclosure_iter
2        3.9e-04  libc-2.17.so             libc-2.17.so             fgetc
2        3.9e-04  libc-2.17.so             libc-2.17.so             free
2        3.9e-04  libc-2.17.so             libc-2.17.so             link_nfa_nodes
2        3.9e-04  libc-2.17.so             libc-2.17.so             parse_expression
2        3.9e-04  libc-2.17.so             libc-2.17.so             re_search_internal
2        3.9e-04  libc-2.17.so             libc-2.17.so             realloc
2        3.9e-04  libisc-export.so.95.2.1  libisc-export.so.95.2.1  /usr/lib64/libisc-export.so.95.2.1
2        3.9e-04  libjemalloc.so.2         libjemalloc.so.2         je_base_extent_hooks_get
2        3.9e-04  libkrb5.so.3.3           libkrb5.so.3.3           /usr/lib64/libkrb5.so.3.3
2        3.9e-04  libsystemd.so.0.6.0      libsystemd.so.0.6.0      /usr/lib64/libsystemd.so.0.6.0
2        3.9e-04  ophelp                   ophelp                   /usr/bin/ophelp
2        3.9e-04  rngd                     rngd                     /usr/sbin/rngd
2        3.9e-04  server                   server                   rte_mempool_free_memchunks
1        2.0e-04  NetworkManager           NetworkManager           /usr/sbin/NetworkManager
1        2.0e-04  [vdso] (tgid:802 range:0x7ffc2e3c0000-0x7ffc2e3c2000) systemd-journald         [vdso] (tgid:802 range:0x7ffc2e3c0000-0x7ffc2e3c2000)
1        2.0e-04  anon (tgid:3621 range:0x7f25ded3f000-0x7f25ded4f000) gnome-shell              anon (tgid:3621 range:0x7f25ded3f000-0x7f25ded4f000)
1        2.0e-04  avahi-daemon             avahi-daemon             /usr/sbin/avahi-daemon
1        2.0e-04  ld-2.17.so               ld-2.17.so               _dl_cache_libcmp
1        2.0e-04  ld-2.17.so               ld-2.17.so               _dl_fixup
1        2.0e-04  ld-2.17.so               ld-2.17.so               _dl_map_object
1        2.0e-04  ld-2.17.so               ld-2.17.so               _dl_map_object_from_fd
1        2.0e-04  ld-2.17.so               ld-2.17.so               _dl_runtime_resolve_xsavec
1        2.0e-04  ld-2.17.so               ld-2.17.so               _dl_setup_hash
1        2.0e-04  ld-2.17.so               ld-2.17.so               _dl_unload_cache
1        2.0e-04  ld-2.17.so               ld-2.17.so               bcmp
1        2.0e-04  libatasmart.so.4.0.5     libatasmart.so.4.0.5     /usr/lib64/libatasmart.so.4.0.5
1        2.0e-04  libatspi.so.0.0.1        libatspi.so.0.0.1        /usr/lib64/libatspi.so.0.0.1
1        2.0e-04  libc-2.17.so             libc-2.17.so             _IO_old_init
1        2.0e-04  libc-2.17.so             libc-2.17.so             _IO_vfscanf
1        2.0e-04  libc-2.17.so             libc-2.17.so             __GI___printf_fp_l
1        2.0e-04  libc-2.17.so             libc-2.17.so             __dcigettext
1        2.0e-04  libc-2.17.so             libc-2.17.so             __gconv_lookup_cache
1        2.0e-04  libc-2.17.so             libc-2.17.so             __memcpy_sse2
1        2.0e-04  libc-2.17.so             libc-2.17.so             __rawmemchr_sse2
1        2.0e-04  libc-2.17.so             libc-2.17.so             __read_nocancel
1        2.0e-04  libc-2.17.so             libc-2.17.so             __select_nocancel
1        2.0e-04  libc-2.17.so             libc-2.17.so             __strcasecmp_l_avx
1        2.0e-04  libc-2.17.so             libc-2.17.so             __strchr_sse42
1        2.0e-04  libc-2.17.so             libc-2.17.so             __strncpy_sse2_unaligned
1        2.0e-04  libc-2.17.so             libc-2.17.so             __strnlen_sse2
1        2.0e-04  libc-2.17.so             libc-2.17.so             build_trtable
1        2.0e-04  libc-2.17.so             libc-2.17.so             calloc
1        2.0e-04  libc-2.17.so             libc-2.17.so             init_cacheinfo
1        2.0e-04  libc-2.17.so             libc-2.17.so             mbrtoc32
1        2.0e-04  libc-2.17.so             libc-2.17.so             parse_branch
1        2.0e-04  libc-2.17.so             libc-2.17.so             pthread_mutex_unlock
1        2.0e-04  libc-2.17.so             libc-2.17.so             ptmalloc_init.part.7
1        2.0e-04  libc-2.17.so             libc-2.17.so             qsort
1        2.0e-04  libc-2.17.so             libc-2.17.so             re_node_set_merge
1        2.0e-04  libc-2.17.so             libc-2.17.so             readdir
1        2.0e-04  libc-2.17.so             libc-2.17.so             sigemptyset
1        2.0e-04  libc-2.17.so             libc-2.17.so             strchrnul
1        2.0e-04  libc-2.17.so             libc-2.17.so             vfprintf
1        2.0e-04  libclutter-1.0.so.0.2000.0 libclutter-1.0.so.0.2000.0 /usr/lib64/libclutter-1.0.so.0.2000.0
1        2.0e-04  libcogl.so.20.2.0        libcogl.so.20.2.0        /usr/lib64/libcogl.so.20.2.0
1        2.0e-04  libdl-2.17.so            libdl-2.17.so            _dlerror_run
1        2.0e-04  libgirepository-1.0.so.1.0.0 libgirepository-1.0.so.1.0.0 /usr/lib64/libgirepository-1.0.so.1.0.0
1        2.0e-04  libjemalloc.so.2         libjemalloc.so.2         extent_split_default
1        2.0e-04  libjemalloc.so.2         libjemalloc.so.2         je_extents_alloc
1        2.0e-04  libjemalloc.so.2         libjemalloc.so.2         je_nstime_init
1        2.0e-04  libjemalloc.so.2         libjemalloc.so.2         je_tcache_bin_flush_small
1        2.0e-04  libpcsclite.so.1.0.0     libpcsclite.so.1.0.0     /usr/lib64/libpcsclite.so.1.0.0
1        2.0e-04  libprocps.so.4.0.0       libprocps.so.4.0.0       /usr/lib64/libprocps.so.4.0.0
